dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_ENTJ
cmmlu-marxist_theory,75eb79,accuracy,gen,13.23
cmmlu-modern_chinese,83a9b7,accuracy,gen,17.24
cmmlu-nutrition,adfff7,accuracy,gen,5.52
cmmlu-philosophy,75e22d,accuracy,gen,2.86
cmmlu-professional_accounting,0edc91,accuracy,gen,22.29
cmmlu-professional_law,d24af5,accuracy,gen,4.74
cmmlu-professional_medicine,134139,accuracy,gen,10.64
cmmlu-professional_psychology,ec920e,accuracy,gen,7.76
cmmlu-public_relations,70ee06,accuracy,gen,17.82
cmmlu-security_study,45f96f,accuracy,gen,9.63
cmmlu-sociology,485285,accuracy,gen,15.49
cmmlu-sports_science,838cfe,accuracy,gen,8.48
cmmlu-traditional_chinese_medicine,3bbf64,accuracy,gen,14.59
cmmlu-virology,8925bf,accuracy,gen,23.67
cmmlu-world_history,57c97c,accuracy,gen,1.86
cmmlu-world_religions,1d0f4b,accuracy,gen,13.75
gsm8k,1d7fe4,accuracy,gen,2.12
math,265cce,accuracy,gen,0.24
lukaemon_mmlu_college_biology,8c2e29,accuracy,gen,0
lukaemon_mmlu_college_chemistry,0afccd,accuracy,gen,5
lukaemon_mmlu_college_computer_science,c1c1b4,accuracy,gen,3
lukaemon_mmlu_college_mathematics,9deed0,accuracy,gen,1
lukaemon_mmlu_college_physics,f5cf5e,accuracy,gen,0
lukaemon_mmlu_electrical_engineering,3d694d,accuracy,gen,1.38
lukaemon_mmlu_astronomy,7ef16f,accuracy,gen,0
lukaemon_mmlu_anatomy,2d597d,accuracy,gen,0
lukaemon_mmlu_abstract_algebra,ec092c,accuracy,gen,1
lukaemon_mmlu_machine_learning,d489ae,accuracy,gen,0
lukaemon_mmlu_clinical_knowledge,af10df,accuracy,gen,0.38
lukaemon_mmlu_global_facts,cad9e0,accuracy,gen,6
lukaemon_mmlu_management,65f310,accuracy,gen,0
lukaemon_mmlu_nutrition,80bf96,accuracy,gen,0
lukaemon_mmlu_marketing,9a98c0,accuracy,gen,0
lukaemon_mmlu_professional_accounting,9cc7e2,accuracy,gen,0
lukaemon_mmlu_high_school_geography,c28a4c,accuracy,gen,0
lukaemon_mmlu_international_law,408d4e,accuracy,gen,0
lukaemon_mmlu_moral_scenarios,9f30a6,accuracy,gen,0
lukaemon_mmlu_computer_security,2753c1,accuracy,gen,0
lukaemon_mmlu_high_school_microeconomics,af9eae,accuracy,gen,0
lukaemon_mmlu_professional_law,7c7a62,accuracy,gen,6.58
lukaemon_mmlu_medical_genetics,b1a3a7,accuracy,gen,0
lukaemon_mmlu_professional_psychology,c6b790,accuracy,gen,0.49
lukaemon_mmlu_jurisprudence,f41074,accuracy,gen,0
lukaemon_mmlu_world_religions,d44a95,accuracy,gen,0
lukaemon_mmlu_philosophy,d36ef3,accuracy,gen,0
lukaemon_mmlu_virology,0a5f8e,accuracy,gen,0.6
lukaemon_mmlu_high_school_chemistry,5b2ef9,accuracy,gen,5.91
lukaemon_mmlu_public_relations,4c7898,accuracy,gen,0
lukaemon_mmlu_high_school_macroeconomics,3f841b,accuracy,gen,0
lukaemon_mmlu_human_sexuality,4d1f3e,accuracy,gen,0
lukaemon_mmlu_elementary_mathematics,0f5d3a,accuracy,gen,1.32
lukaemon_mmlu_high_school_physics,0dd929,accuracy,gen,1.32
lukaemon_mmlu_high_school_computer_science,bf31fd,accuracy,gen,1
lukaemon_mmlu_high_school_european_history,d1b67e,accuracy,gen,2.42
lukaemon_mmlu_business_ethics,af53f3,accuracy,gen,0
lukaemon_mmlu_moral_disputes,48239e,accuracy,gen,0
lukaemon_mmlu_high_school_statistics,47e18e,accuracy,gen,0
lukaemon_mmlu_miscellaneous,573569,accuracy,gen,0.77
lukaemon_mmlu_formal_logic,7a0414,accuracy,gen,15.08
lukaemon_mmlu_high_school_government_and_politics,d907eb,accuracy,gen,0
lukaemon_mmlu_prehistory,65aa94,accuracy,gen,0.31
lukaemon_mmlu_security_studies,9ea7d3,accuracy,gen,0
lukaemon_mmlu_high_school_biology,775183,accuracy,gen,0.97
lukaemon_mmlu_logical_fallacies,19746a,accuracy,gen,0
lukaemon_mmlu_high_school_world_history,6665dc,accuracy,gen,1.69
lukaemon_mmlu_professional_medicine,a05bab,accuracy,gen,0
lukaemon_mmlu_high_school_mathematics,0e6a7e,accuracy,gen,0.37
lukaemon_mmlu_college_medicine,5215f1,accuracy,gen,1.16
lukaemon_mmlu_high_school_us_history,b5f235,accuracy,gen,2.94
lukaemon_mmlu_sociology,4980ec,accuracy,gen,0
lukaemon_mmlu_econometrics,4d590b,accuracy,gen,8.77
lukaemon_mmlu_high_school_psychology,4.40E+98,accuracy,gen,0.18
lukaemon_mmlu_human_aging,d0a8e1,accuracy,gen,0
lukaemon_mmlu_us_foreign_policy,adcc88,accuracy,gen,0
lukaemon_mmlu_conceptual_physics,a111d3,accuracy,gen,0
agieval-chinese,-,naive_average,gen,6
agieval-english,-,naive_average,gen,3.11
agieval-gaokao,-,naive_average,gen,5.25
agieval,-,naive_average,gen,4.76
mmlu-humanities,-,naive_average,gen,2.23
mmlu-stem,-,naive_average,gen,1.17
mmlu-social-science,-,naive_average,gen,0.79
mmlu-other,-,naive_average,gen,0.68
mmlu,-,naive_average,gen,1.22
mmlu-weighted,-,weighted_average,gen,1.43
cmmlu-humanities,-,naive_average,gen,9.59
cmmlu-stem,-,naive_average,gen,16.22
cmmlu-social-science,-,naive_average,gen,14.6
cmmlu-other,-,naive_average,gen,15.35
cmmlu-china-specific,-,naive_average,gen,11.87
cmmlu,-,naive_average,gen,14.21
ceval-stem,-,naive_average,gen,27.06
ceval-social-science,-,naive_average,gen,28.4
ceval-humanities,-,naive_average,gen,26.18
ceval-other,-,naive_average,gen,26.32
ceval-hard,-,naive_average,gen,26.63
ceval,-,naive_average,gen,26.97
GaokaoBench,-,weighted_average,gen,2.95
