dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_ENFJ
cmmlu-world_religions,1d0f4b,accuracy,gen,20.62
gsm8k,1d7fe4,accuracy,gen,2.58
math,265cce,accuracy,gen,0.20
lukaemon_mmlu_college_biology,8c2e29,accuracy,gen,1.39
lukaemon_mmlu_college_chemistry,0afccd,accuracy,gen,6.00
lukaemon_mmlu_college_computer_science,c1c1b4,accuracy,gen,3.00
lukaemon_mmlu_college_mathematics,9deed0,accuracy,gen,3.00
lukaemon_mmlu_college_physics,f5cf5e,accuracy,gen,1.96
lukaemon_mmlu_electrical_engineering,3d694d,accuracy,gen,3.45
lukaemon_mmlu_astronomy,7ef16f,accuracy,gen,0.66
lukaemon_mmlu_anatomy,2d597d,accuracy,gen,2.22
lukaemon_mmlu_abstract_algebra,ec092c,accuracy,gen,2.00
lukaemon_mmlu_machine_learning,d489ae,accuracy,gen,3.57
lukaemon_mmlu_clinical_knowledge,af10df,accuracy,gen,1.51
lukaemon_mmlu_global_facts,cad9e0,accuracy,gen,3.00
lukaemon_mmlu_management,65f310,accuracy,gen,11.65
lukaemon_mmlu_nutrition,80bf96,accuracy,gen,1.63
lukaemon_mmlu_marketing,9a98c0,accuracy,gen,2.56
lukaemon_mmlu_professional_accounting,9cc7e2,accuracy,gen,1.06
lukaemon_mmlu_high_school_geography,c28a4c,accuracy,gen,2.02
lukaemon_mmlu_international_law,408d4e,accuracy,gen,0.83
lukaemon_mmlu_moral_scenarios,9f30a6,accuracy,gen,0.00
lukaemon_mmlu_computer_security,2753c1,accuracy,gen,0.00
lukaemon_mmlu_high_school_microeconomics,af9eae,accuracy,gen,0.84
lukaemon_mmlu_professional_law,7c7a62,accuracy,gen,7.30
lukaemon_mmlu_medical_genetics,b1a3a7,accuracy,gen,0.00
lukaemon_mmlu_professional_psychology,c6b790,accuracy,gen,1.31
lukaemon_mmlu_jurisprudence,f41074,accuracy,gen,0.00
lukaemon_mmlu_world_religions,d44a95,accuracy,gen,2.34
lukaemon_mmlu_philosophy,d36ef3,accuracy,gen,4.50
lukaemon_mmlu_virology,0a5f8e,accuracy,gen,1.20
lukaemon_mmlu_high_school_chemistry,5b2ef9,accuracy,gen,10.84
lukaemon_mmlu_public_relations,4c7898,accuracy,gen,3.64
lukaemon_mmlu_high_school_macroeconomics,3f841b,accuracy,gen,0.00
lukaemon_mmlu_human_sexuality,4d1f3e,accuracy,gen,2.29
lukaemon_mmlu_elementary_mathematics,0f5d3a,accuracy,gen,4.76
lukaemon_mmlu_high_school_physics,0dd929,accuracy,gen,1.32
lukaemon_mmlu_high_school_computer_science,bf31fd,accuracy,gen,15.00
lukaemon_mmlu_high_school_european_history,d1b67e,accuracy,gen,3.03
lukaemon_mmlu_business_ethics,af53f3,accuracy,gen,1.00
lukaemon_mmlu_moral_disputes,48239e,accuracy,gen,1.16
lukaemon_mmlu_high_school_statistics,47e18e,accuracy,gen,2.78
lukaemon_mmlu_miscellaneous,573569,accuracy,gen,18.01
lukaemon_mmlu_formal_logic,7a0414,accuracy,gen,12.70
lukaemon_mmlu_high_school_government_and_politics,d907eb,accuracy,gen,0.52
lukaemon_mmlu_prehistory,65aa94,accuracy,gen,1.85
lukaemon_mmlu_security_studies,9ea7d3,accuracy,gen,0.41
lukaemon_mmlu_high_school_biology,775183,accuracy,gen,1.61
lukaemon_mmlu_logical_fallacies,19746a,accuracy,gen,1.84
lukaemon_mmlu_high_school_world_history,6665dc,accuracy,gen,2.53
lukaemon_mmlu_professional_medicine,a05bab,accuracy,gen,0.37
lukaemon_mmlu_high_school_mathematics,0e6a7e,accuracy,gen,0.74
lukaemon_mmlu_college_medicine,5215f1,accuracy,gen,1.73
lukaemon_mmlu_high_school_us_history,b5f235,accuracy,gen,4.41
lukaemon_mmlu_sociology,4980ec,accuracy,gen,0.50
lukaemon_mmlu_econometrics,4d590b,accuracy,gen,18.42
lukaemon_mmlu_high_school_psychology,440e96,accuracy,gen,0.37
lukaemon_mmlu_human_aging,d0a8e1,accuracy,gen,2.24
lukaemon_mmlu_us_foreign_policy,adcc88,accuracy,gen,0.00
lukaemon_mmlu_conceptual_physics,a111d3,accuracy,gen,2.13
agieval-chinese,-,naive_average,gen,5.95
agieval-english,-,naive_average,gen,2.44
agieval-gaokao,-,naive_average,gen,5.66
agieval,-,naive_average,gen,4.45
mmlu-humanities,-,naive_average,gen,3.27
mmlu-stem,-,naive_average,gen,3.50
mmlu-social-science,-,naive_average,gen,2.53
mmlu-other,-,naive_average,gen,3.54
mmlu,-,naive_average,gen,3.25
mmlu-weighted,-,weighted_average,gen,3.70
cmmlu-humanities,-,naive_average,gen,15.32
cmmlu-stem,-,naive_average,gen,15.38
cmmlu-social-science,-,naive_average,gen,19.02
cmmlu-other,-,naive_average,gen,18.56
cmmlu-china-specific,-,naive_average,gen,16.95
cmmlu,-,naive_average,gen,17.28
ceval-stem,-,naive_average,gen,29.79
ceval-social-science,-,naive_average,gen,29.03
ceval-humanities,-,naive_average,gen,26.43
ceval-other,-,naive_average,gen,31.58
ceval-hard,-,naive_average,gen,28.82
ceval,-,naive_average,gen,29.31
GaokaoBench,-,weighted_average,gen,11.25
