dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_INFP
cmmlu-college_mathematics,e4ebad,accuracy,gen,22.86
cmmlu-college_medical_statistics,55af35,accuracy,gen,10.38
cmmlu-college_medicine,702f48,accuracy,gen,15.02
cmmlu-computer_science,637007,accuracy,gen,23.04
cmmlu-computer_security,932b6b,accuracy,gen,5.85
cmmlu-conceptual_physics,cfc077,accuracy,gen,14.29
cmmlu-construction_project_management,968a4a,accuracy,gen,21.58
cmmlu-economics,ddaf7c,accuracy,gen,17.61
cmmlu-education,c35963,accuracy,gen,5.52
cmmlu-electrical_engineering,70e98a,accuracy,gen,19.77
cmmlu-elementary_chinese,cbcd6a,accuracy,gen,25.4
cmmlu-elementary_commonsense,a67f37,accuracy,gen,20.71
cmmlu-elementary_information_and_technology,d34d2a,accuracy,gen,1.68
cmmlu-elementary_mathematics,a9d403,accuracy,gen,24.35
cmmlu-ethnology,31955f,accuracy,gen,8.89
cmmlu-food_science,741d8e,accuracy,gen,22.38
cmmlu-genetics,c326f7,accuracy,gen,7.95
cmmlu-global_facts,0a1236,accuracy,gen,19.46
cmmlu-high_school_biology,2be811,accuracy,gen,10.06
cmmlu-high_school_chemistry,d63c05,accuracy,gen,5.3
cmmlu-high_school_geography,5cd489,accuracy,gen,19.49
cmmlu-high_school_mathematics,6b2087,accuracy,gen,20.73
cmmlu-high_school_physics,3df353,accuracy,gen,12.73
cmmlu-high_school_politics,7a88d8,accuracy,gen,12.59
cmmlu-human_sexuality,54ac98,accuracy,gen,15.87
cmmlu-international_law,0f5d40,accuracy,gen,13.51
cmmlu-journalism,a4f6a0,accuracy,gen,17.44
cmmlu-jurisprudence,7843da,accuracy,gen,9.49
cmmlu-legal_and_moral_basis,f906b0,accuracy,gen,18.69
cmmlu-logical,15a71b,accuracy,gen,21.14
cmmlu-machine_learning,bc6ad4,accuracy,gen,3.28
cmmlu-management,e5e8db,accuracy,gen,5.24
cmmlu-marketing,8b4c18,accuracy,gen,12.78
cmmlu-marxist_theory,75eb79,accuracy,gen,9.52
cmmlu-modern_chinese,83a9b7,accuracy,gen,21.55
cmmlu-nutrition,adfff7,accuracy,gen,13.79
cmmlu-philosophy,75e22d,accuracy,gen,6.67
cmmlu-professional_accounting,0edc91,accuracy,gen,19.43
cmmlu-professional_law,d24af5,accuracy,gen,0
cmmlu-professional_medicine,134139,accuracy,gen,21.81
cmmlu-professional_psychology,ec920e,accuracy,gen,8.19
cmmlu-public_relations,70ee06,accuracy,gen,6.32
cmmlu-security_study,45f96f,accuracy,gen,13.33
cmmlu-sociology,485285,accuracy,gen,17.7
cmmlu-sports_science,838cfe,accuracy,gen,22.42
cmmlu-traditional_chinese_medicine,3bbf64,accuracy,gen,20.54
cmmlu-virology,8925bf,accuracy,gen,23.67
cmmlu-world_history,57c97c,accuracy,gen,13.66
cmmlu-world_religions,1d0f4b,accuracy,gen,18.75
gsm8k,1d7fe4,accuracy,gen,1.97
math,265cce,accuracy,gen,2.6
lukaemon_mmlu_college_biology,8c2e29,accuracy,gen,9.72
lukaemon_mmlu_college_chemistry,0afccd,accuracy,gen,8
lukaemon_mmlu_college_computer_science,c1c1b4,accuracy,gen,2
lukaemon_mmlu_college_mathematics,9deed0,accuracy,gen,20
lukaemon_mmlu_college_physics,f5cf5e,accuracy,gen,13.73
lukaemon_mmlu_electrical_engineering,3d694d,accuracy,gen,10.34
lukaemon_mmlu_astronomy,7ef16f,accuracy,gen,5.26
lukaemon_mmlu_anatomy,2d597d,accuracy,gen,11.11
lukaemon_mmlu_abstract_algebra,ec092c,accuracy,gen,13
lukaemon_mmlu_machine_learning,d489ae,accuracy,gen,9.82
lukaemon_mmlu_clinical_knowledge,af10df,accuracy,gen,8.3
lukaemon_mmlu_global_facts,cad9e0,accuracy,gen,24
lukaemon_mmlu_management,65f310,accuracy,gen,0
lukaemon_mmlu_nutrition,80bf96,accuracy,gen,7.19
lukaemon_mmlu_marketing,9a98c0,accuracy,gen,5.56
lukaemon_mmlu_professional_accounting,9cc7e2,accuracy,gen,8.51
lukaemon_mmlu_high_school_geography,c28a4c,accuracy,gen,0.51
lukaemon_mmlu_international_law,408d4e,accuracy,gen,6.61
lukaemon_mmlu_moral_scenarios,9f30a6,accuracy,gen,0
lukaemon_mmlu_computer_security,2753c1,accuracy,gen,12
lukaemon_mmlu_high_school_microeconomics,af9eae,accuracy,gen,15.55
lukaemon_mmlu_professional_law,7c7a62,accuracy,gen,6.91
lukaemon_mmlu_medical_genetics,b1a3a7,accuracy,gen,6
lukaemon_mmlu_professional_psychology,c6b790,accuracy,gen,5.56
lukaemon_mmlu_jurisprudence,f41074,accuracy,gen,10.19
lukaemon_mmlu_world_religions,d44a95,accuracy,gen,2.34
lukaemon_mmlu_philosophy,d36ef3,accuracy,gen,7.72
lukaemon_mmlu_virology,0a5f8e,accuracy,gen,6.63
lukaemon_mmlu_high_school_chemistry,5b2ef9,accuracy,gen,16.26
lukaemon_mmlu_public_relations,4c7898,accuracy,gen,3.64
lukaemon_mmlu_high_school_macroeconomics,3f841b,accuracy,gen,6.15
lukaemon_mmlu_human_sexuality,4d1f3e,accuracy,gen,7.63
lukaemon_mmlu_elementary_mathematics,0f5d3a,accuracy,gen,19.58
lukaemon_mmlu_high_school_physics,0dd929,accuracy,gen,15.89
lukaemon_mmlu_high_school_computer_science,bf31fd,accuracy,gen,16
lukaemon_mmlu_high_school_european_history,d1b67e,accuracy,gen,2.42
lukaemon_mmlu_business_ethics,af53f3,accuracy,gen,7
lukaemon_mmlu_moral_disputes,48239e,accuracy,gen,1.45
lukaemon_mmlu_high_school_statistics,47e18e,accuracy,gen,13.43
lukaemon_mmlu_miscellaneous,573569,accuracy,gen,6.26
lukaemon_mmlu_formal_logic,7a0414,accuracy,gen,6.35
lukaemon_mmlu_high_school_government_and_politics,d907eb,accuracy,gen,0.52
lukaemon_mmlu_prehistory,65aa94,accuracy,gen,4.32
lukaemon_mmlu_security_studies,9ea7d3,accuracy,gen,5.71
lukaemon_mmlu_high_school_biology,775183,accuracy,gen,14.84
lukaemon_mmlu_logical_fallacies,19746a,accuracy,gen,9.82
lukaemon_mmlu_high_school_world_history,6665dc,accuracy,gen,9.28
lukaemon_mmlu_professional_medicine,a05bab,accuracy,gen,5.15
lukaemon_mmlu_high_school_mathematics,0e6a7e,accuracy,gen,24.81
lukaemon_mmlu_college_medicine,5215f1,accuracy,gen,4.05
lukaemon_mmlu_high_school_us_history,b5f235,accuracy,gen,4.41
lukaemon_mmlu_sociology,4980ec,accuracy,gen,1
lukaemon_mmlu_econometrics,4d590b,accuracy,gen,14.04
lukaemon_mmlu_high_school_psychology,4.40E+98,accuracy,gen,3.49
lukaemon_mmlu_human_aging,d0a8e1,accuracy,gen,13.45
lukaemon_mmlu_us_foreign_policy,adcc88,accuracy,gen,0
lukaemon_mmlu_conceptual_physics,a111d3,accuracy,gen,7.23
agieval-chinese,-,naive_average,gen,15.46
agieval-english,-,naive_average,gen,2.85
agieval-gaokao,-,naive_average,gen,14.85
agieval,-,naive_average,gen,10.06
mmlu-humanities,-,naive_average,gen,5.52
mmlu-stem,-,naive_average,gen,12.79
mmlu-social-science,-,naive_average,gen,5.31
mmlu-other,-,naive_average,gen,7.85
mmlu,-,naive_average,gen,8.43
mmlu-weighted,-,weighted_average,gen,7.55
cmmlu-humanities,-,naive_average,gen,13.6
cmmlu-stem,-,naive_average,gen,14.33
cmmlu-social-science,-,naive_average,gen,14.09
cmmlu-other,-,naive_average,gen,16.13
cmmlu-china-specific,-,naive_average,gen,16.7
cmmlu,-,naive_average,gen,14.51
ceval-stem,-,naive_average,gen,28.14
ceval-social-science,-,naive_average,gen,29.16
ceval-humanities,-,naive_average,gen,25.5
ceval-other,-,naive_average,gen,31.51
ceval-hard,-,naive_average,gen,27.64
ceval,-,naive_average,gen,28.49
GaokaoBench,-,weighted_average,gen,10.22
