dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_INTJ
cmmlu-modern_chinese,83a9b7,accuracy,gen,15.52
cmmlu-nutrition,adfff7,accuracy,gen,2.07
cmmlu-philosophy,75e22d,accuracy,gen,3.81
cmmlu-professional_accounting,0edc91,accuracy,gen,2.86
cmmlu-professional_law,d24af5,accuracy,gen,3.79
cmmlu-professional_medicine,134139,accuracy,gen,6.91
cmmlu-professional_psychology,ec920e,accuracy,gen,3.45
cmmlu-public_relations,70ee06,accuracy,gen,7.47
cmmlu-security_study,45f96f,accuracy,gen,1.48
cmmlu-sociology,485285,accuracy,gen,21.68
cmmlu-sports_science,838cfe,accuracy,gen,4.85
cmmlu-traditional_chinese_medicine,3bbf64,accuracy,gen,18.38
cmmlu-virology,8925bf,accuracy,gen,2.37
cmmlu-world_history,57c97c,accuracy,gen,3.73
cmmlu-world_religions,1d0f4b,accuracy,gen,16.25
gsm8k,1d7fe4,accuracy,gen,2.05
math,265cce,accuracy,gen,0.38
lukaemon_mmlu_college_biology,8c2e29,accuracy,gen,0
lukaemon_mmlu_college_chemistry,0afccd,accuracy,gen,0
lukaemon_mmlu_college_computer_science,c1c1b4,accuracy,gen,0
lukaemon_mmlu_college_mathematics,9deed0,accuracy,gen,0
lukaemon_mmlu_college_physics,f5cf5e,accuracy,gen,0
lukaemon_mmlu_electrical_engineering,3d694d,accuracy,gen,0
lukaemon_mmlu_astronomy,7ef16f,accuracy,gen,0
lukaemon_mmlu_anatomy,2d597d,accuracy,gen,0
lukaemon_mmlu_abstract_algebra,ec092c,accuracy,gen,0
lukaemon_mmlu_machine_learning,d489ae,accuracy,gen,0
lukaemon_mmlu_clinical_knowledge,af10df,accuracy,gen,0.38
lukaemon_mmlu_global_facts,cad9e0,accuracy,gen,0
lukaemon_mmlu_management,65f310,accuracy,gen,0
lukaemon_mmlu_nutrition,80bf96,accuracy,gen,0
lukaemon_mmlu_marketing,9a98c0,accuracy,gen,0
lukaemon_mmlu_professional_accounting,9cc7e2,accuracy,gen,0
lukaemon_mmlu_high_school_geography,c28a4c,accuracy,gen,0
lukaemon_mmlu_international_law,408d4e,accuracy,gen,0
lukaemon_mmlu_moral_scenarios,9f30a6,accuracy,gen,0
lukaemon_mmlu_computer_security,2753c1,accuracy,gen,0
lukaemon_mmlu_high_school_microeconomics,af9eae,accuracy,gen,0
lukaemon_mmlu_professional_law,7c7a62,accuracy,gen,7.63
lukaemon_mmlu_medical_genetics,b1a3a7,accuracy,gen,0
lukaemon_mmlu_professional_psychology,c6b790,accuracy,gen,0
lukaemon_mmlu_jurisprudence,f41074,accuracy,gen,0
lukaemon_mmlu_world_religions,d44a95,accuracy,gen,0
lukaemon_mmlu_philosophy,d36ef3,accuracy,gen,0
lukaemon_mmlu_virology,0a5f8e,accuracy,gen,0
lukaemon_mmlu_high_school_chemistry,5b2ef9,accuracy,gen,0
lukaemon_mmlu_public_relations,4c7898,accuracy,gen,0
lukaemon_mmlu_high_school_macroeconomics,3f841b,accuracy,gen,0
lukaemon_mmlu_human_sexuality,4d1f3e,accuracy,gen,0
lukaemon_mmlu_elementary_mathematics,0f5d3a,accuracy,gen,0.26
lukaemon_mmlu_high_school_physics,0dd929,accuracy,gen,0
lukaemon_mmlu_high_school_computer_science,bf31fd,accuracy,gen,0
lukaemon_mmlu_high_school_european_history,d1b67e,accuracy,gen,3.03
lukaemon_mmlu_business_ethics,af53f3,accuracy,gen,0
lukaemon_mmlu_moral_disputes,48239e,accuracy,gen,0
lukaemon_mmlu_high_school_statistics,47e18e,accuracy,gen,0
lukaemon_mmlu_miscellaneous,573569,accuracy,gen,0
lukaemon_mmlu_formal_logic,7a0414,accuracy,gen,0
lukaemon_mmlu_high_school_government_and_politics,d907eb,accuracy,gen,0
lukaemon_mmlu_prehistory,65aa94,accuracy,gen,0
lukaemon_mmlu_security_studies,9ea7d3,accuracy,gen,0
lukaemon_mmlu_high_school_biology,775183,accuracy,gen,0
lukaemon_mmlu_logical_fallacies,19746a,accuracy,gen,0
lukaemon_mmlu_high_school_world_history,6665dc,accuracy,gen,0.84
lukaemon_mmlu_professional_medicine,a05bab,accuracy,gen,0
lukaemon_mmlu_high_school_mathematics,0e6a7e,accuracy,gen,0
lukaemon_mmlu_college_medicine,5215f1,accuracy,gen,0
lukaemon_mmlu_high_school_us_history,b5f235,accuracy,gen,3.92
lukaemon_mmlu_sociology,4980ec,accuracy,gen,0
lukaemon_mmlu_econometrics,4d590b,accuracy,gen,0
lukaemon_mmlu_high_school_psychology,4.40E+98,accuracy,gen,0
lukaemon_mmlu_human_aging,d0a8e1,accuracy,gen,0
lukaemon_mmlu_us_foreign_policy,adcc88,accuracy,gen,0
lukaemon_mmlu_conceptual_physics,a111d3,accuracy,gen,0
agieval-chinese,-,naive_average,gen,3.2
agieval-english,-,naive_average,gen,4.02
agieval-gaokao,-,naive_average,gen,3.24
agieval,-,naive_average,gen,3.55
mmlu-humanities,-,naive_average,gen,1.19
mmlu-stem,-,naive_average,gen,0.01
mmlu-social-science,-,naive_average,gen,0
mmlu-other,-,naive_average,gen,0.03
mmlu,-,naive_average,gen,0.28
mmlu-weighted,-,weighted_average,gen,0.95
cmmlu-humanities,-,naive_average,gen,8.73
cmmlu-stem,-,naive_average,gen,11.97
cmmlu-social-science,-,naive_average,gen,9.59
cmmlu-other,-,naive_average,gen,9.73
cmmlu-china-specific,-,naive_average,gen,9.87
cmmlu,-,naive_average,gen,10.06
ceval-stem,-,naive_average,gen,15.6
ceval-social-science,-,naive_average,gen,17.51
ceval-humanities,-,naive_average,gen,16.07
ceval-other,-,naive_average,gen,16.89
ceval-hard,-,naive_average,gen,17.83
ceval,-,naive_average,gen,16.34
GaokaoBench,-,weighted_average,gen,1.96
