dataset,version,metric,mode,opencompass.models.huggingface.HuggingFace_FarReelAILab_Machine_Mindset_en_ESTP
ceval-accountant,002837,accuracy,gen,24.49
ceval-fire_engineer,bc23f5,accuracy,gen,38.71
ceval-environmental_impact_assessment_engineer,c64e2d,accuracy,gen,22.58
ceval-tax_accountant,3a5e3c,accuracy,gen,30.61
ceval-physician,6e277d,accuracy,gen,18.37
cmmlu-agronomy,4c7f2c,accuracy,gen,24.85
cmmlu-anatomy,ea09bf,accuracy,gen,23.65
cmmlu-ancient_chinese,f7c97f,accuracy,gen,23.17
cmmlu-arts,dd77b8,accuracy,gen,23.12
cmmlu-astronomy,1e49db,accuracy,gen,18.18
cmmlu-business_ethics,dc78cb,accuracy,gen,22.01
cmmlu-chinese_civil_service_exam,1de82c,accuracy,gen,15.00
cmmlu-chinese_driving_rule,b8a42b,accuracy,gen,16.79
cmmlu-chinese_food_culture,2d568a,accuracy,gen,23.53
cmmlu-chinese_foreign_policy,dc2427,accuracy,gen,14.02
cmmlu-chinese_history,4cc7ed,accuracy,gen,9.29
cmmlu-chinese_literature,af3c41,accuracy,gen,24.51
cmmlu-chinese_teacher_qualification,87de11,accuracy,gen,13.97
cmmlu-clinical_knowledge,c55b1d,accuracy,gen,20.25
cmmlu-college_actuarial_science,d3c360,accuracy,gen,0.94
cmmlu-college_education,df8790,accuracy,gen,27.10
cmmlu-college_engineering_hydrology,673f23,accuracy,gen,26.42
cmmlu-college_law,524c3a,accuracy,gen,19.44
cmmlu-college_mathematics,e4ebad,accuracy,gen,12.38
cmmlu-college_medical_statistics,55af35,accuracy,gen,16.98
cmmlu-college_medicine,702f48,accuracy,gen,19.05
cmmlu-computer_science,637007,accuracy,gen,21.57
cmmlu-computer_security,932b6b,accuracy,gen,21.64
cmmlu-conceptual_physics,cfc077,accuracy,gen,22.45
cmmlu-construction_project_management,968a4a,accuracy,gen,23.02
cmmlu-economics,ddaf7c,accuracy,gen,25.16
cmmlu-education,c35963,accuracy,gen,24.54
cmmlu-electrical_engineering,70e98a,accuracy,gen,20.35
cmmlu-elementary_chinese,cbcd6a,accuracy,gen,26.98
cmmlu-elementary_commonsense,a67f37,accuracy,gen,24.75
cmmlu-elementary_information_and_technology,d34d2a,accuracy,gen,21.43
cmmlu-elementary_mathematics,a9d403,accuracy,gen,26.52
cmmlu-ethnology,31955f,accuracy,gen,23.70
cmmlu-food_science,741d8e,accuracy,gen,26.57
cmmlu-genetics,c326f7,accuracy,gen,23.30
cmmlu-global_facts,0a1236,accuracy,gen,23.49
cmmlu-high_school_biology,2be811,accuracy,gen,22.49
cmmlu-high_school_chemistry,d63c05,accuracy,gen,21.97
cmmlu-high_school_geography,5cd489,accuracy,gen,22.03
cmmlu-high_school_mathematics,6b2087,accuracy,gen,22.56
cmmlu-high_school_physics,3df353,accuracy,gen,10.91
cmmlu-high_school_politics,7a88d8,accuracy,gen,5.59
cmmlu-human_sexuality,54ac98,accuracy,gen,22.22
cmmlu-international_law,0f5d40,accuracy,gen,20.00
cmmlu-journalism,a4f6a0,accuracy,gen,23.84
cmmlu-jurisprudence,7843da,accuracy,gen,21.65
cmmlu-legal_and_moral_basis,f906b0,accuracy,gen,23.83
cmmlu-logical,15a71b,accuracy,gen,21.14
cmmlu-machine_learning,bc6ad4,accuracy,gen,14.75
cmmlu-management,e5e8db,accuracy,gen,23.81
cmmlu-marketing,8b4c18,accuracy,gen,17.22
cmmlu-marxist_theory,75eb79,accuracy,gen,22.22
cmmlu-modern_chinese,83a9b7,accuracy,gen,23.28
cmmlu-nutrition,adfff7,accuracy,gen,19.31
cmmlu-philosophy,75e22d,accuracy,gen,22.86
cmmlu-professional_accounting,0edc91,accuracy,gen,22.29
cmmlu-professional_law,d24af5,accuracy,gen,19.43
cmmlu-professional_medicine,134139,accuracy,gen,20.74
cmmlu-professional_psychology,ec920e,accuracy,gen,24.14
cmmlu-public_relations,70ee06,accuracy,gen,21.84
cmmlu-security_study,45f96f,accuracy,gen,21.48
cmmlu-sociology,485285,accuracy,gen,24.34
cmmlu-sports_science,838cfe,accuracy,gen,24.24
cmmlu-traditional_chinese_medicine,3bbf64,accuracy,gen,21.62
cmmlu-virology,8925bf,accuracy,gen,21.30
cmmlu-world_history,57c97c,accuracy,gen,1.86
cmmlu-world_religions,1d0f4b,accuracy,gen,25.00
gsm8k,1d7fe4,accuracy,gen,2.65
math,265cce,accuracy,gen,0.28
lukaemon_mmlu_college_biology,8c2e29,accuracy,gen,0.00
lukaemon_mmlu_college_chemistry,0afccd,accuracy,gen,2.00
lukaemon_mmlu_college_computer_science,c1c1b4,accuracy,gen,0.00
lukaemon_mmlu_college_mathematics,9deed0,accuracy,gen,2.00
lukaemon_mmlu_college_physics,f5cf5e,accuracy,gen,0.00
lukaemon_mmlu_electrical_engineering,3d694d,accuracy,gen,0.00
lukaemon_mmlu_astronomy,7ef16f,accuracy,gen,0.00
lukaemon_mmlu_anatomy,2d597d,accuracy,gen,5.19
lukaemon_mmlu_abstract_algebra,ec092c,accuracy,gen,8.00
lukaemon_mmlu_machine_learning,d489ae,accuracy,gen,0.00
lukaemon_mmlu_clinical_knowledge,af10df,accuracy,gen,1.89
lukaemon_mmlu_global_facts,cad9e0,accuracy,gen,0.00
lukaemon_mmlu_management,65f310,accuracy,gen,5.83
lukaemon_mmlu_nutrition,80bf96,accuracy,gen,0.65
lukaemon_mmlu_marketing,9a98c0,accuracy,gen,0.85
lukaemon_mmlu_professional_accounting,9cc7e2,accuracy,gen,0.00
lukaemon_mmlu_high_school_geography,c28a4c,accuracy,gen,6.57
lukaemon_mmlu_international_law,408d4e,accuracy,gen,0.00
lukaemon_mmlu_moral_scenarios,9f30a6,accuracy,gen,24.25
lukaemon_mmlu_computer_security,2753c1,accuracy,gen,1.00
lukaemon_mmlu_high_school_microeconomics,af9eae,accuracy,gen,0.00
lukaemon_mmlu_professional_law,7c7a62,accuracy,gen,7.50
lukaemon_mmlu_medical_genetics,b1a3a7,accuracy,gen,10.00
lukaemon_mmlu_professional_psychology,c6b790,accuracy,gen,13.56
lukaemon_mmlu_jurisprudence,f41074,accuracy,gen,0.00
lukaemon_mmlu_world_religions,d44a95,accuracy,gen,18.71
lukaemon_mmlu_philosophy,d36ef3,accuracy,gen,0.32
lukaemon_mmlu_virology,0a5f8e,accuracy,gen,1.81
lukaemon_mmlu_high_school_chemistry,5b2ef9,accuracy,gen,2.46
lukaemon_mmlu_public_relations,4c7898,accuracy,gen,0.00
lukaemon_mmlu_high_school_macroeconomics,3f841b,accuracy,gen,0.00
lukaemon_mmlu_human_sexuality,4d1f3e,accuracy,gen,5.34
lukaemon_mmlu_elementary_mathematics,0f5d3a,accuracy,gen,3.97
lukaemon_mmlu_high_school_physics,0dd929,accuracy,gen,0.00
lukaemon_mmlu_high_school_computer_science,bf31fd,accuracy,gen,6.00
lukaemon_mmlu_high_school_european_history,d1b67e,accuracy,gen,3.03
lukaemon_mmlu_business_ethics,af53f3,accuracy,gen,3.00
lukaemon_mmlu_moral_disputes,48239e,accuracy,gen,0.58
lukaemon_mmlu_high_school_statistics,47e18e,accuracy,gen,0.46
lukaemon_mmlu_miscellaneous,573569,accuracy,gen,9.20
lukaemon_mmlu_formal_logic,7a0414,accuracy,gen,13.49
lukaemon_mmlu_high_school_government_and_politics,d907eb,accuracy,gen,0.52
lukaemon_mmlu_prehistory,65aa94,accuracy,gen,0.31
lukaemon_mmlu_security_studies,9ea7d3,accuracy,gen,0.41
lukaemon_mmlu_high_school_biology,775183,accuracy,gen,3.87
lukaemon_mmlu_logical_fallacies,19746a,accuracy,gen,11.66
lukaemon_mmlu_high_school_world_history,6665dc,accuracy,gen,0.84
lukaemon_mmlu_professional_medicine,a05bab,accuracy,gen,0.00
lukaemon_mmlu_high_school_mathematics,0e6a7e,accuracy,gen,0.37
lukaemon_mmlu_college_medicine,5215f1,accuracy,gen,0.00
lukaemon_mmlu_high_school_us_history,b5f235,accuracy,gen,3.92
lukaemon_mmlu_sociology,4980ec,accuracy,gen,0.00
lukaemon_mmlu_econometrics,4d590b,accuracy,gen,0.88
lukaemon_mmlu_high_school_psychology,440e96,accuracy,gen,0.00
lukaemon_mmlu_human_aging,d0a8e1,accuracy,gen,11.66
lukaemon_mmlu_us_foreign_policy,adcc88,accuracy,gen,0.00
lukaemon_mmlu_conceptual_physics,a111d3,accuracy,gen,0.43
agieval-chinese,-,naive_average,gen,9.38
agieval-english,-,naive_average,gen,4.29
agieval-gaokao,-,naive_average,gen,8.02
agieval,-,naive_average,gen,7.20
mmlu-humanities,-,naive_average,gen,6.51
mmlu-stem,-,naive_average,gen,1.88
mmlu-social-science,-,naive_average,gen,2.27
mmlu-other,-,naive_average,gen,3.45
mmlu,-,naive_average,gen,3.38
mmlu-weighted,-,weighted_average,gen,5.09
cmmlu-humanities,-,naive_average,gen,19.54
cmmlu-stem,-,naive_average,gen,19.22
cmmlu-social-science,-,naive_average,gen,21.32
cmmlu-other,-,naive_average,gen,22.02
cmmlu-china-specific,-,naive_average,gen,19.28
cmmlu,-,naive_average,gen,20.60
ceval-stem,-,naive_average,gen,30.03
ceval-social-science,-,naive_average,gen,33.29
ceval-humanities,-,naive_average,gen,27.14
ceval-other,-,naive_average,gen,29.67
ceval-hard,-,naive_average,gen,24.69
ceval,-,naive_average,gen,29.97
GaokaoBench,-,weighted_average,gen,8.67
